dates,shore,Hs,Tp,Dir,Eng
18/07/1999,334.5017014,1.383181691,7.853462219,146.106369,7.362337157
19/07/1999,334.5068728,1.318838596,8.479516983,140.9698486,7.226874136
20/07/1999,334.5120442,1.032732368,8.224149704,129.1729889,4.297962927
21/07/1999,334.5172157,0.816123903,7.941767216,129.3853912,2.591942894
22/07/1999,334.5223871,0.707199216,8.566102982,128.2670746,2.09924396
23/07/1999,334.5275586,0.854882419,7.487452507,131.4123535,2.681284713
24/07/1999,334.53273,0.742043674,8.579753876,119.4938278,2.314887254
25/07/1999,334.5379014,1.027577162,11.25323105,111.4017487,5.822402206
26/07/1999,334.5430729,1.668333292,11.82343864,109.2056885,16.12521503
27/07/1999,334.5482443,2.41705966,11.71957397,125.03862,33.54923679
28/07/1999,334.5534158,3.030130863,13.42580605,114.0445862,60.40309873
29/07/1999,334.5585872,3.042063951,13.71773624,116.140976,62.20355524
30/07/1999,334.5637586,2.656866074,13.44976807,113.8555679,46.52112429
31/07/1999,334.5689301,2.166561365,12.87125492,113.0788574,29.60458384
1/08/1999,334.5741015,1.740026832,12.46142769,110.5301971,18.48739722
2/08/1999,334.5792729,1.401606202,12.258564,111.9736023,11.80015467
3/08/1999,334.5844444,1.351392031,11.46964836,111.2546616,10.26381678
4/08/1999,334.5896158,1.373062372,11.63422871,109.0262833,10.74766716
5/08/1999,334.5947873,1.549957633,11.42468452,108.7760925,13.448689
6/08/1999,334.5999587,1.691149235,8.587677956,139.3009796,12.03471186
7/08/1999,334.6051301,1.556926489,10.69514656,137.0836182,12.70337257
8/08/1999,334.6103016,1.18194294,10.69801235,113.1104736,7.323053326
9/08/1999,334.615473,0.848677278,9.89076519,111.1928024,3.490688709
10/08/1999,334.6206445,0.620040357,9.041323662,120.542038,1.703209268
11/08/1999,334.6258159,0.441426724,8.361236572,130.6555939,0.798332547
12/08/1999,334.6309873,0.36839655,8.377465248,123.7264862,0.55710855
13/08/1999,334.6361588,0.57564944,8.587391853,153.14888,1.394355563
14/08/1999,334.6413302,0.773355961,9.404947281,150.8057251,2.756203757
15/08/1999,334.6465016,1.067672253,9.010583878,138.963501,5.032976776
16/08/1999,334.6516731,1.182993054,7.964774132,142.0153046,5.461776616
17/08/1999,334.6568445,1.685325861,8.353504181,158.4049835,11.62605958
18/08/1999,334.662016,1.574587584,9.568955421,154.891983,11.62503466
19/08/1999,334.6671874,1.179556251,11.0585804,143.0229492,7.539330343
20/08/1999,334.6723588,0.775647104,13.34886265,115.0178528,3.935217086
21/08/1999,334.6775303,0.740325272,12.69350052,106.6322708,3.408965727
22/08/1999,334.6827017,1.003424764,13.27592754,155.5126495,6.549838375
23/08/1999,334.6878732,1.321893573,10.6505661,162.2678528,9.119305274
24/08/1999,334.6930446,1.274447799,14.02169418,161.6547394,11.15939561
25/08/1999,334.698216,2.22918582,14.91924858,160.8821564,36.32750521
26/08/1999,334.7033875,2.086657524,11.96825886,157.7953033,25.53462036
27/08/1999,334.7085589,2.089235306,13.15831566,137.5461884,28.14304554
28/08/1999,334.7137303,1.538597345,12.56490993,135.7501678,14.57489441
29/08/1999,334.7189018,1.086669564,11.41046047,135.9852448,6.602284845
30/08/1999,334.7240732,0.796649277,10.31624985,135.3473969,3.208132261
31/08/1999,334.7292447,2.055154324,11.02583504,160.7804413,22.81899162
1/09/1999,334.7344161,1.837114215,11.55461216,158.6132507,19.10837554
2/09/1999,334.7395875,1.245999575,10.5921402,155.3408203,8.057783399
3/09/1999,334.744759,0.962756991,11.10220623,155.1792755,5.042416697
4/09/1999,334.7499304,0.89469099,14.78254509,159.3493958,5.798176348
5/09/1999,334.7551019,0.548728526,11.30888748,161.559906,1.668518548
6/09/1999,334.7602733,0.355413437,10.74144745,146.4321594,0.664854441
7/09/1999,334.7654447,0.788725615,11.18812466,160.6051636,3.410399591
8/09/1999,334.7706162,2.253147364,10.97590733,159.3542023,27.30333551
9/09/1999,334.7757876,1.972291589,9.703368187,152.7625885,18.49527683
10/09/1999,334.780959,1.290581346,8.983568192,144.1529388,7.331886206
11/09/1999,334.7861305,0.78557533,8.165631294,138.0170288,2.469229855
12/09/1999,334.7913019,0.50548321,8.133649826,143.6463623,1.0183452
13/09/1999,334.7964734,0.669108987,9.711579323,131.5663147,2.130490823
14/09/1999,334.8016448,0.675982356,14.79820061,151.9975891,3.313414065
15/09/1999,334.8068162,0.679610014,9.648859024,130.7037048,2.183692991
16/09/1999,334.8119877,1.041992307,8.812973976,142.8586731,4.688647607
17/09/1999,334.8275236,1.229197741,9.475686073,144.9433899,7.015364668
18/09/1999,334.8414576,0.846099675,8.875217438,130.6720886,3.113279689
19/09/1999,334.8537895,0.990918994,10.05028534,106.3882675,4.835604558
20/09/1999,334.8645195,0.864237845,10.41629601,101.7322083,3.812202427
21/09/1999,334.8736475,1.619455695,7.734227657,156.0336609,9.939194139
22/09/1999,334.8811734,1.077982426,8.609826088,130.4012756,4.902457311
23/09/1999,334.8870974,0.796840131,12.34228706,140.7883911,3.840025599
24/09/1999,334.8914195,0.575267613,9.96159935,131.1724701,1.615343913
25/09/1999,334.8941395,0.410591781,8.959320068,149.1100616,0.740102098
26/09/1999,334.8952575,0.466056496,15.40172577,160.9598389,1.639240207
27/09/1999,334.8947736,1.464039803,8.630827904,163.5167542,9.064718153
28/09/1999,334.8926876,1.253636599,13.16480732,161.9736633,10.13803794
29/09/1999,334.8889997,1.091442823,12.72404861,163.1517792,7.427170238
30/09/1999,334.8837098,1.475972772,16.67426491,157.6901398,17.79915844
1/10/1999,334.8768179,1.890669584,13.92403412,158.8386993,24.38891241
2/10/1999,334.868324,1.313588142,11.40616608,156.5917664,9.643933556
3/10/1999,334.8582281,0.914165676,11.68606567,158.0111542,4.785355694
4/10/1999,334.8465302,0.705098987,10.03033352,163.5848083,2.443496018
5/10/1999,334.8332304,0.844572306,16.35627174,159.8339691,5.716814105
6/10/1999,334.8183285,0.905478418,16.28916168,158.7885284,6.54411648
7/10/1999,334.8018247,0.831875503,13.58952808,162.8816528,4.6080494
8/10/1999,334.7837188,0.620517612,12.71555233,163.1407623,2.399051299
9/10/1999,334.764011,0.496032268,14.9678421,161.1749573,1.80457581
10/10/1999,334.7427012,0.757222414,14.81318855,162.1372528,4.16189915
11/10/1999,334.7169782,1.366761684,15.25623894,160.9626007,13.96462097
12/10/1999,334.686842,0.771542132,11.43184471,161.6526794,3.334507434
13/10/1999,334.6522926,0.763236701,9.460412025,155.1304932,2.700378384
14/10/1999,334.61333,1.282275915,7.756852627,161.4664001,6.249490185
15/10/1999,334.5699541,1.441605568,8.873116493,158.1919098,9.035769953
16/10/1999,334.5221651,1.465376377,12.38877869,159.4985504,13.03535752
17/10/1999,334.4699629,1.289626598,10.01935577,156.945755,8.165143869
18/10/1999,334.4133475,1.134210825,10.39987564,144.7887268,6.55559027
19/10/1999,334.3523188,0.704908073,9.631293297,138.861084,2.345015174
20/10/1999,334.286877,0.339470893,9.730098724,128.0024567,0.549437646
21/10/1999,334.217022,0.324673951,10.24761105,131.9890442,0.529314274
22/10/1999,334.1427537,0.397226751,10.29142857,161.6822205,0.795698832
23/10/1999,334.0640723,0.378420323,16.59817886,158.6483002,1.164676799
24/10/1999,333.9809777,0.622235954,11.92023945,164.1869202,2.261472251
25/10/1999,333.8934698,0.931158364,13.91782951,162.0602875,5.913092726
26/10/1999,333.8015488,1.197503686,12.76108932,162.5427856,8.966801303
27/10/1999,333.7101505,0.778320074,10.48760796,157.9045868,3.113070728
28/10/1999,333.619275,0.449445724,9.357023239,150.7431793,0.926164849
29/10/1999,333.5289222,0.313504606,13.56575775,158.1582336,0.653323062
30/10/1999,333.4390922,0.318659663,15.35189247,160.564621,0.763857215
31/10/1999,333.349785,0.461951554,14.81548023,161.318634,1.549189976
1/11/1999,333.2610006,0.458132982,11.43518543,162.0609589,1.176040854
2/11/1999,333.1727389,0.517320752,7.845252991,157.2468262,1.02878076
3/11/1999,333.0850001,0.568107843,14.4584446,160.3982849,2.286542222
4/11/1999,332.9977839,0.771542072,15.01948643,161.7605896,4.380971106
5/11/1999,332.9128034,1.084951282,14.9624939,160.805191,8.630193654
6/11/1999,332.8300586,0.890872478,13.397645,155.9497986,5.210214831
7/11/1999,332.7495494,0.610493958,10.15310097,136.9227905,1.85420405
8/11/1999,332.6712759,0.440853924,10.49753571,119.9845963,0.999707297
9/11/1999,332.595238,0.378038436,11.88549042,104.107666,0.832309979
10/11/1999,332.5214358,0.634359956,9.932483673,100.9465714,1.958508499
11/11/1999,332.4498692,0.586818814,10.40598583,111.905571,1.755849826
12/11/1999,332.3805382,1.203231573,7.395138741,163.1407776,5.246151704
13/11/1999,332.3134429,1.064140081,9.459839821,163.6411591,5.249010788
14/11/1999,332.2485832,0.82423836,8.337752342,160.8368073,2.775560616
15/11/1999,332.1859592,0.364864379,9.393396378,152.9653625,0.61274766
16/11/1999,332.1255709,0.34491232,13.74990749,145.2753601,0.801517983
17/11/1999,332.0674182,0.470734239,9.237407684,99.55951691,1.002992689
18/11/1999,332.0115011,0.666817784,11.13075066,105.7263489,2.425129207
19/11/1999,331.9578197,0.894118249,10.97581196,102.2917023,4.299546556
20/11/1999,331.9063739,1.353778601,8.47436142,120.3805161,7.610239983
21/11/1999,331.8571638,2.26842165,9.955586433,119.5921249,25.10212538
22/11/1999,331.8101893,2.228994846,10.20808792,132.4791107,24.85184352
23/11/1999,331.7654504,1.471581459,9.406093597,127.9014206,9.980998509
24/11/1999,331.7229473,0.876075506,8.97707653,113.6259918,3.376090532
25/11/1999,331.6826797,0.816410363,8.876648903,107.1416016,2.899092952
26/11/1999,331.6446478,0.778702021,7.239818573,107.8165665,2.151128562
27/11/1999,331.6088516,1.021849394,6.665219307,137.4698944,3.410234998
28/11/1999,331.5759344,1.842078328,7.758571148,145.3001099,12.90012782
29/11/1999,331.5458964,1.664992213,7.510363579,153.1791077,10.20190923
30/11/1999,331.5187375,1.437309742,8.020047188,148.5024414,8.118461622
1/12/1999,331.4944577,1.309674025,10.83242416,153.5688324,9.104333658
2/12/1999,331.4730569,1.133828878,12.40710831,164.156662,7.815588435
3/12/1999,331.4545353,1.557499409,12.39517403,163.129776,14.73345123
4/12/1999,331.4388928,1.16915071,10.13572598,160.8072357,6.788783148
5/12/1999,331.4261295,0.7516855,8.440663338,155.443222,2.336926235
6/12/1999,331.4162452,0.769251049,7.511891365,151.5624847,2.178118847
7/12/1999,331.40924,0.961516023,5.916397095,144.4416046,2.680195335
8/12/1999,331.4051139,1.10433054,6.892232895,136.7206879,4.118643381
9/12/1999,331.403867,0.83493042,6.576150894,125.4640884,2.246303423
10/12/1999,331.4054991,0.704239845,7.378909111,106.3759003,1.793202879
11/12/1999,331.4100104,0.620231271,9.102994919,101.887558,1.715883105
12/12/1999,331.4174007,0.530017555,8.521903038,103.5694656,1.173040961
13/12/1999,331.4276702,0.509588182,8.363815308,114.7834778,1.064239096
14/12/1999,331.4367289,2.05849576,9.988710403,164.7202759,20.73984258
15/12/1999,331.4445767,1.554731011,9.641508102,158.1960297,11.41961791
16/12/1999,331.4512138,1.544802547,13.7024622,160.4828339,16.02288244
17/12/1999,331.4566401,1.230820656,12.15279007,159.1803131,9.021144266
18/12/1999,331.4608556,1.218123913,12.73865509,148.0034332,9.26195351
19/12/1999,331.4638603,0.93392688,11.26592827,149.8544464,4.814917081
20/12/1999,331.4656541,0.760563672,10.24121475,150.5362854,2.902810654
21/12/1999,331.4662372,0.57269007,11.29924393,143.4291687,1.815870069
22/12/1999,331.4656095,0.763618588,11.6108408,152.5343781,3.317513763
23/12/1999,331.4636601,0.916743219,14.06417656,162.3778229,5.79169659
24/12/1999,331.460389,0.756076872,8.912352562,161.0966187,2.496435474
25/12/1999,331.4557963,1.007147908,5.731769562,146.13797,2.848861341
26/12/1999,331.4498818,1.01421237,9.066239357,129.5888367,4.569630317
27/12/1999,331.4426457,1.089724541,10.6704216,121.3111649,6.208849348
28/12/1999,331.4340878,0.833689392,11.07767105,113.649353,3.772707155
29/12/1999,331.4242083,0.743857503,10.60292816,107.8392487,2.874758685
30/12/1999,331.4156851,0.616603613,9.26156044,104.1708984,1.725410257
31/12/1999,331.4085184,0.940895677,9.330200195,102.0621338,4.047342791
1/01/2000,331.402708,0.901946306,9.064904213,104.2753754,3.613438502
2/01/2000,331.3982539,0.765241444,9.686948776,108.0942535,2.77958557
3/01/2000,331.3951563,0.987291336,9.325998306,129.2327881,4.45432667
4/01/2000,331.393415,1.519027233,8.819465637,161.9867249,9.971706156
5/01/2000,331.3930301,0.977267563,7.691936493,155.6576691,3.599637257
6/01/2000,331.3940015,0.719323099,8.161907196,119.693161,2.06935855
7/01/2000,331.3963294,0.594646871,8.919607162,118.5844727,1.545468236
8/01/2000,331.4000136,0.890299618,15.69795132,160.602417,6.096933134
9/01/2000,331.4050542,0.815455675,12.99029922,144.5790863,4.232685045
10/01/2000,331.4114511,1.121705055,12.31612968,158.7823486,7.593249796
11/01/2000,331.4192044,1.131155968,9.432153702,156.8392181,5.913599815
12/01/2000,331.4283141,1.004952192,8.933067322,153.124115,4.420663834
13/01/2000,331.4387802,0.739656985,8.392071724,148.7258301,2.249707172
14/01/2000,331.4506027,0.923330247,13.13330364,157.7272797,5.4863586
15/01/2000,331.4637815,1.10910368,10.33009148,159.0050354,6.226507852
16/01/2000,331.4783167,0.859369218,9.086193085,153.6533813,3.28804406
17/01/2000,331.4942082,0.625481784,10.08913994,147.5813904,1.934102821
18/01/2000,331.5114562,0.432548523,9.488670349,155.516098,0.869903555
19/01/2000,331.5300605,0.616508126,14.23744392,162.9112091,2.651585998
20/01/2000,331.5500212,0.564384639,14.1992588,161.9901733,2.216216198
21/01/2000,331.5713382,0.706244588,12.7802763,162.9194489,3.123536525
22/01/2000,331.5940116,0.676077843,11.30936337,163.1146545,2.532955992
23/01/2000,331.6180414,0.635791957,11.58287048,160.6952057,2.294258447
24/01/2000,331.6434276,0.657653272,10.50068665,155.3662415,2.225398287
25/01/2000,331.6701701,0.961993277,8.164579391,145.2911835,3.702320147
26/01/2000,331.6982691,1.261178255,6.968699455,137.9421082,5.431262121
27/01/2000,331.7277244,1.072636366,7.687449932,143.4628448,4.333945185
28/01/2000,331.758536,0.835884988,8.98452282,130.6871948,3.075984533
29/01/2000,331.7907041,0.774215102,8.330306053,122.2576447,2.446697705
30/01/2000,331.8242285,0.617080927,10.18765926,108.8860703,1.900880159
31/01/2000,331.8556329,1.306619287,11.33838558,156.9980011,9.48517681
1/02/2000,331.8849172,1.698786378,11.70687771,164.604126,16.55444791
2/02/2000,331.9120816,1.790145755,10.61285686,163.9724579,16.66499443
3/02/2000,331.9371259,1.499838948,11.27852821,164.050827,12.43190734
4/02/2000,331.9600502,1.121991396,10.73027802,161.3454285,6.61890439
5/02/2000,331.9808544,0.860705674,9.707855225,161.3852997,3.523941603
6/02/2000,331.9995387,0.669013441,10.66660309,157.8743591,2.339332214
7/02/2000,332.0161029,0.699084759,11.84997845,154.5352478,2.837744618
8/02/2000,332.0305471,1.160463572,13.31124973,162.9593201,8.783708921
9/02/2000,332.0456825,0.972494364,11.95880699,163.7470245,5.541892827
10/02/2000,332.0615091,1.035309911,13.68967056,162.4410706,7.190015392
11/02/2000,332.0780269,1.059175968,12.34133244,163.5834351,6.784133224
12/02/2000,332.0952358,0.777174532,11.01180172,161.964035,3.259054203
13/02/2000,332.113136,0.621663213,10.01143169,147.1146851,1.895844032
14/02/2000,332.1317273,0.802090645,12.71096992,148.254303,4.007021504
15/02/2000,332.1510099,1.042851567,12.1799984,147.6363983,6.49065174
16/02/2000,332.1763466,0.90509665,10.95662403,140.1780396,4.398076248
17/02/2000,332.2077374,0.85574162,8.919511795,136.7365112,3.200534213
18/02/2000,332.2451824,0.956360936,5.877638817,153.5351563,2.634162918
19/02/2000,332.2886816,0.824715734,7.978234291,117.2469025,2.658957686
20/02/2000,332.3382349,0.682283044,7.808116913,107.8832397,1.781031269
21/02/2000,332.3938424,0.592642069,6.858343124,123.7539825,1.180321296
22/02/2000,332.455504,1.007147908,12.28959084,164.6790466,6.108295153
