dates,shore,Hs,Tp,Dir,Eng,,,real_dates
26/08/1999,397.7091139,2.1353445,8.123435,236.4713,18.14979363,,,26/08/1999 0:00
27/08/1999,397.7113366,1.635971,6.8749537,235.46434,9.016065529,,,27/09/1999 0:00
28/08/1999,397.7157868,1.2538276,7.296524,236.98611,5.620665582,,,14/11/1999 0:00
29/08/1999,397.7224737,1.3792676,8.101765,238.8172,7.55218797,,,25/12/1999 0:00
30/08/1999,397.7314104,1.7902412,14.652141,237.98276,23.01019317,,,24/05/2000 0:00
31/08/1999,397.7426132,2.0283291,12.575315,237.7587,25.35080738,,,4/07/2000 0:00
1/09/1999,397.7561013,1.7476641,14.967936,237.63222,22.4013364,,,11/07/2000 0:00
2/09/1999,397.7718963,1.4184079,13.317551,236.42937,13.12873044,,,15/10/2000 0:00
3/09/1999,397.7900212,1.4557345,14.305796,237.95253,14.85499319,,,25/11/2000 0:00
4/09/1999,397.8105003,1.5770695,16.201715,236.56409,19.74507255,,,2/12/2000 0:00
5/09/1999,397.8333585,1.4374053,14.864357,237.09747,15.04875913,,,4/02/2001 0:00
6/09/1999,397.8586204,1.100321,13.702558,236.89952,8.128988936,,,17/03/2001 0:00
7/09/1999,397.8863102,1.1820384,12.863331,236.90295,8.806689729,,,24/03/2001 0:00
8/09/1999,397.9164505,1.3744943,8.50491,235.16603,7.873207338,,,12/06/2001 0:00
9/09/1999,397.9490623,1.440651,12.192981,234.58041,12.40005316,,,8/08/2001 0:00
10/09/1999,397.9841639,1.3619885,8.691066,236.0692,7.899798415,,,15/08/2001 0:00
11/09/1999,398.0217703,1.3407,7.308934,236.25272,6.437442146,,,9/09/2001 0:00
12/09/1999,398.0618927,1.3080512,7.366022,237.24043,6.175591756,,,25/09/2001 0:00
13/09/1999,398.104538,1.2665243,7.2376223,239.25298,5.688778823,,,11/10/2001 0:00
14/09/1999,398.1497078,1.3768809,7.209747,237.1236,6.697440376,,,6/01/2002 0:00
15/09/1999,398.1973981,1.4195535,6.570041,236.03415,6.48735538,,,22/01/2002 0:00
16/09/1999,398.2475984,1.3130153,7.320772,236.38539,6.184328278,,,23/02/2002 0:00
17/09/1999,398.3002914,1.2857126,8.97889,238.95743,7.272881829,,,30/05/2002 0:00
18/09/1999,398.3554522,1.1291512,11.3478365,239.31897,7.08946317,,,27/08/2002 0:00
19/09/1999,398.4130477,1.4674765,7.5024405,242.79623,7.916640984,,,14/10/2002 0:00
20/09/1999,398.4730362,1.986993,6.5582037,244.19772,12.68742991,,,21/10/2002 0:00
