Date,Actual,Predicted,all_dates,dates,real_dates
1999-10-25,401.012,390.155,1999-10-25,1999-10-25,2005-07-26
1999-10-26,401.050,389.416,1999-10-26,1999-10-26,2005-08-03
1999-10-27,401.083,390.098,1999-10-27,1999-10-27,2005-09-04
1999-10-28,401.111,389.627,1999-10-28,1999-10-28,2005-09-12
1999-10-29,401.134,391.367,1999-10-29,1999-10-29,2005-10-22
1999-10-30,401.152,389.935,1999-10-30,1999-10-30,2005-11-22
1999-10-31,401.164,391.156,1999-10-31,1999-10-31,2005-11-30
1999-11-01,401.170,389.885,1999-11-01,1999-11-01,2006-02-10
1999-11-02,401.170,390.463,1999-11-02,1999-11-02,2006-04-15
1999-11-03,401.165,389.880,1999-11-03,1999-11-03,2006-04-16
1999-11-04,401.153,389.953,1999-11-04,1999-11-04,2006-06-02
1999-11-05,401.135,390.039,1999-11-05,1999-11-05,2006-06-19
1999-11-06,401.110,390.069,1999-11-06,1999-11-06,2006-06-26
1999-11-07,401.080,390.318,1999-11-07,1999-11-07,2006-07-04
1999-11-08,401.042,390.162,1999-11-08,1999-11-08,2006-07-21
1999-11-09,400.999,390.329,1999-11-09,1999-11-09,2006-07-28
1999-11-10,400.949,390.215,1999-11-10,1999-11-10,2006-09-07
1999-11-11,400.892,390.245,1999-11-11,1999-11-11,2006-10-16
1999-11-12,400.830,390.071,1999-11-12,1999-11-12,2007-03-02
1999-11-13,400.760,389.998,1999-11-13,1999-11-13,2007-04-19
1999-11-14,400.684,389.775,1999-11-14,1999-11-14,2007-05-05
1999-11-15,400.602,389.940,1999-11-15,1999-11-15,2007-05-21
1999-11-16,400.514,389.954,1999-11-16,1999-11-16,2007-06-06
1999-11-17,400.419,390.051,1999-11-17,1999-11-17,2007-09-25
1999-11-18,400.318,390.022,1999-11-18,1999-11-18,2008-01-23
1999-11-19,400.212,389.971,1999-11-19,1999-11-19,2008-02-16
1999-11-20,400.099,390.767,1999-11-20,1999-11-20,2008-02-24
1999-11-21,399.980,390.556,1999-11-21,1999-11-21,2008-05-07
1999-11-22,399.855,390.866,1999-11-22,1999-11-22,2008-06-24
1999-11-23,399.725,391.139,1999-11-23,1999-11-23,2008-10-29
1999-11-24,399.590,390.756,1999-11-24,1999-11-24,2009-01-17
1999-11-25,399.449,392.053,1999-11-25,1999-11-25,2009-03-14
1999-11-26,399.303,391.684,1999-11-26,1999-11-26,2009-03-23
1999-11-27,399.153,392.342,1999-11-27,1999-11-27,2009-05-17
1999-11-28,398.997,392.039,1999-11-28,1999-11-28,2009-06-02
1999-11-29,398.838,394.364,1999-11-29,1999-11-29,2009-09-06
1999-11-30,398.674,392.239,1999-11-30,1999-11-30,2009-09-15
1999-12-01,398.506,395.153,1999-12-01,1999-12-01,2010-01-29
1999-12-02,398.335,396.837,1999-12-02,1999-12-02,2010-05-04
1999-12-03,398.160,394.224,1999-12-03,1999-12-03,2010-05-13
1999-12-04,397.982,392.420,1999-12-04,1999-12-04,2010-06-30
1999-12-05,397.802,391.063,1999-12-05,1999-12-05,2010-07-23
1999-12-06,397.619,391.137,1999-12-06,1999-12-06,2010-11-05
