dates,shore,Hs,Tp,Dir,Eng,,real_dates
1999-10-13,372.9154634,1.6669968,7.2823954,255.2543,9.91607648,,1999-10-13
1999-10-14,372.9263375,1.5332514,8.611448,256.63312,9.919710627,,1999-11-21
1999-10-15,372.9480626,1.2903903,6.5097075,254.50784,5.311286571,,2000-02-25
1999-10-16,372.980592,0.9484374,7.787688,251.77565,3.432590266,,2000-03-12
1999-10-17,373.023856,0.671591,13.772629,255.798,3.043845915,,2000-05-31
1999-10-18,373.0777615,0.948151,12.5504,264.36023,5.528517168,,2000-09-04
1999-10-19,373.142193,1.3558788,8.272169,267.0216,7.451731862,,2000-09-13
1999-10-20,373.2170126,1.7274257,8.387203,280.98978,12.26343089,,2000-09-20
1999-10-21,373.302061,1.8976386,10.08914,276.91385,17.8023461,,2000-10-15
1999-10-22,373.3971578,1.7009821,8.709108,262.80957,12.34722161,,2000-11-07
1999-10-23,373.5021031,1.7584515,12.069069,263.39246,18.28650206,,2000-12-18
1999-10-24,373.6166778,1.6711017,14.207277,260.32553,19.44073543,,2001-01-03
1999-10-25,373.7406448,1.4281453,7.939285,259.54266,7.934549288,,2001-01-10
1999-10-26,373.8737503,1.6202192,9.145762,280.1849,11.76423048,,2001-02-20
1999-10-27,374.0157245,1.6143006,6.908939,302.36203,8.82218691,,2001-03-08
1999-10-28,374.1662833,1.4095297,6.907698,272.31485,6.724776961,,2001-03-31
1999-10-29,374.3251292,1.6051362,12.480615,257.04416,15.75635819,,2001-05-11
1999-10-30,374.4919523,1.6911492,12.033174,258.4113,16.86320524,,2001-06-28
1999-10-31,374.666432,1.6187875,14.017208,258.07516,17.99854019,,2001-08-15
1999-11-01,374.848238,1.6723428,5.8650374,280.96848,8.03743503,,2001-08-31
1999-11-02,375.0370316,1.7691436,12.789537,261.25208,19.61449242,,2001-09-07
1999-11-03,375.2324669,1.688858,13.856923,259.9736,19.36641145,,2001-09-23
1999-11-04,375.4341919,1.5725827,11.202062,286.04794,13.57441241,,2001-10-02
1999-11-05,375.64185,1.5641818,10.348707,317.08353,12.40670991,,2001-11-03
1999-11-06,375.8550811,1.6018903,9.322467,308.21957,11.72175063,,2001-12-21
1999-11-07,376.0735228,1.2354984,9.774394,281.14444,7.31089078,,2002-02-07
1999-11-08,376.2968113,1.0985073,12.367012,255.67358,7.31251478,,2002-02-14
1999-11-09,376.5245831,1.3047099,6.7103734,254.20886,5.597198162,,2002-03-11
1999-11-10,376.7564757,1.7057552,6.809656,303.96902,9.708556475,,2002-07-08
1999-11-11,376.9921287,1.9318148,8.41737,302.70914,15.39229846,,2002-08-09
1999-11-12,377.2311852,1.7755395,6.30971,277.13242,9.746892046,,2002-10-05
1999-11-13,377.4732926,1.5305784,7.023878,256.83038,8.062768675,,2002-11-13
1999-11-14,377.7181035,1.1683869,5.6783094,252.8493,3.798293241,,2002-11-29
1999-11-15,377.9652773,1.5684779,11.366737,260.67194,13.70214942,,2002-12-31
1999-11-16,378.2144804,1.8094296,10.359303,261.13107,16.61919552,,2003-02-01
1999-11-17,378.4653878,1.7879502,6.685839,286.6714,10.4728005,,2003-02-26
1999-11-18,378.7176836,1.5270462,10.012386,281.81116,11.44031592,,2003-03-05
1999-11-19,378.9710621,1.1649503,9.165332,255.4062,6.094794632,,2003-03-21
1999-11-20,379.2252288,1.0476247,11.215427,257.01254,6.031472493,,2003-07-28
1999-11-21,379.4799008,1.1091992,13.460555,257.7947,8.114806012,,2003-08-28
1999-11-22,379.7348081,1.1540674,11.700481,256.04474,7.635933584,,2003-08-29
1999-11-23,379.9896942,1.0515388,13.785325,255.13748,7.469021224,,2003-09-14
1999-11-24,380.2443157,1.4222264,5.611771,272.78296,5.562032118,,2003-10-16
1999-11-25,380.4984416,1.5376427,8.425388,260.58258,9.761057056,,2003-11-17
1999-11-26,380.7518535,1.4092432,7.2923236,259.46567,7.096331716,,2003-11-25
1999-11-27,381.0043444,1.4575483,7.5959,258.96664,7.907172788,,2003-12-02
1999-11-28,381.255719,1.5904346,6.6285605,258.74188,8.215744695,,2003-12-03
1999-11-29,381.5057925,1.6108639,6.7035,258.08,8.523449485,,2003-12-10
1999-11-30,381.7543909,1.5692414,6.88345,257.75348,8.305805496,,2004-01-03
1999-12-01,382.0013497,1.5296236,7.9585686,258.81818,9.124313428,,2004-01-04
1999-12-02,382.2465143,1.4055202,7.116287,257.1837,6.888485018,,2004-01-12
1999-12-03,382.489739,1.419267,8.787198,263.77875,8.673106958,,2004-01-19
1999-12-04,382.7308865,1.3147337,8.039522,262.82745,6.809291061,,2004-01-20
1999-12-05,382.9698279,1.4473336,7.9067316,260.9579,8.115781862,,2004-04-08
1999-12-06,383.2064417,1.6539183,11.605112,260.92902,15.55512557,,2004-04-25
1999-12-07,383.4406137,1.6280475,15.482679,260.94415,20.10834525,,2004-05-19
1999-12-08,383.6722365,1.4648036,8.938318,258.44772,9.397464177,,2004-09-08
1999-12-09,383.9012089,1.4521067,6.285653,260.44995,6.494467392,,2004-09-24
1999-12-10,384.1274358,1.4000787,8.235319,260.31454,7.910089613,,2004-10-01
1999-12-11,384.3508271,1.6661375,6.0230308,279.5003,8.192809232,,2004-10-18
1999-12-12,384.5712983,1.5133948,8.935264,274.68204,10.02785264,,2004-11-02
1999-12-13,384.788769,1.8112433,6.993043,275.5536,11.24128252,,2004-11-10
1999-12-14,385.0031633,1.8636532,8.820706,264.20282,15.01169133,,2004-11-18
1999-12-15,385.2144091,1.6260427,7.9385214,256.47296,10.2848886,,2004-11-26
1999-12-16,385.4224377,1.4362597,13.876398,255.35191,14.02615963,,2004-12-13
1999-12-17,385.6271834,1.0773141,13.587236,256.75684,7.72701734,,2005-01-14
1999-12-18,385.8285832,1.6943952,10.488085,266.98312,14.7544051,,2005-02-07
1999-12-19,386.0265767,1.6554456,9.961218,258.31436,13.37637244,,2005-02-23
1999-12-20,386.2211052,1.6816983,11.609599,256.74103,16.08827457,,2005-03-02
1999-12-21,386.412112,1.660696,9.302609,254.38687,12.5713271,,2005-03-03
1999-12-22,386.5995417,1.6734885,8.646197,253.13593,11.86497073,,2005-03-10
1999-12-23,386.7833399,1.4337777,9.352442,251.44917,9.420734107,,2005-03-26
1999-12-24,386.9634532,1.348528,11.840622,252.06158,10.55092494,,2005-04-12
1999-12-25,387.1398288,1.4200308,11.017148,254.30988,10.88581106,,2005-07-01
1999-12-26,387.312414,1.234639,9.993389,254.18137,7.464296045,,2005-07-25
1999-12-27,387.4811564,1.3126335,8.97469,266.10474,7.577091014,,2005-08-17
1999-12-28,387.6460033,1.2045679,7.6253986,264.3286,5.421521716,,2005-09-10
1999-12-29,387.8069019,1.1723965,7.330414,264.58707,4.937119163,,2005-09-11
1999-12-30,387.9637986,1.1872889,5.8566365,264.70663,4.045359898,,2005-09-19
1999-12-31,388.1166393,1.6760659,7.085357,294.36206,9.753039835,,2005-10-13
2000-01-01,388.265369,1.4987888,7.579671,329.39798,8.343097395,,2005-10-20
2000-01-02,388.4099316,1.5860431,8.213936,258.6491,10.12458812,,2005-11-06
2000-01-03,388.5502701,1.6948725,9.111395,258.25937,12.82493052,,2005-11-21
2000-01-04,388.6863261,1.5879525,15.187504,257.44763,18.76538591,,2005-11-22
2000-01-05,388.81804,1.5069033,14.598107,255.57323,16.24289327,,2005-12-23
