Date,Actual,Predicted,,,dates
2000-01-19,379.547,383.726,,,1999-10-22
2000-01-20,379.613,383.134,,,1999-11-07
2000-01-21,379.678,383.57,,,1999-12-09
2000-01-22,379.741,383.24,,,1999-12-25
2000-01-23,379.804,383.585,,,2000-03-14
2000-01-24,379.865,383.41,,,2000-03-30
2000-01-25,379.924,383.572,,,2000-05-01
2000-01-26,379.983,382.755,,,2000-08-05
2000-01-27,380.04,383.418,,,2000-12-11
2000-01-28,380.096,382.906,,,2001-01-12
2000-01-29,380.15,383.407,,,2001-02-13
2000-01-30,380.204,382.542,,,2001-03-01
2000-01-31,380.255,382.881,,,2001-06-05
2000-02-01,380.306,381.226,,,2001-06-21
2000-02-02,380.355,381.935,,,2001-08-24
2000-02-03,380.404,380.101,,,2001-09-09
2000-02-04,380.45,380.692,,,2001-09-25
2000-02-05,380.496,380.052,,,2001-10-11
2000-02-06,380.54,381.544,,,2002-01-15
2000-02-07,380.583,380.48,,,2002-03-20
2000-02-08,380.625,381.7,,,2002-04-05
2000-02-09,380.665,381.15,,,2002-08-27
2000-02-10,380.704,381.691,,,2002-10-14
2000-02-11,380.742,382.571,,,2002-12-01
2000-02-12,380.778,382.946,,,2003-01-02
2000-02-13,380.813,382.704,,,2003-01-18
2000-02-14,380.847,382.628,,,2003-05-26
2000-02-15,380.88,381.337,,,2003-07-21
2000-02-16,380.911,379.819,,,2003-08-06
2000-02-17,380.941,379.213,,,2003-09-07
2000-02-18,380.97,380.04,,,2003-10-17
2000-02-19,380.997,380.79,,,2003-10-25
2000-02-20,381.023,381.459,,,2003-11-02
2000-02-21,381.048,382.255,,,2003-11-18
2000-02-22,381.072,382.103,,,2003-12-04
2000-02-23,381.094,382.341,,,2004-01-05
2000-02-24,381.115,381.162,,,2004-01-21
2000-02-25,381.134,382.137,,,2004-02-06
2000-02-26,381.153,381.577,,,2004-02-14
2000-02-27,381.17,382.391,,,2004-03-01
2000-02-28,381.186,381.6,,,2004-03-25
2000-02-29,381.2,382.417,,,2004-04-02
2000-03-01,381.213,382.203,,,2004-04-18
2000-03-02,381.225,382.914,,,2004-05-04
2000-03-03,381.236,382.261,,,2004-05-12
2000-03-04,381.245,380.555,,,2004-05-20
2000-03-05,381.253,381.539,,,2004-05-28
2000-03-06,381.26,381.022,,,2004-07-07
2000-03-07,381.265,380.938,,,2004-07-23
2000-03-08,381.269,380.763,,,2004-08-16
2000-03-09,381.272,380.805,,,2004-09-25
2000-03-10,381.274,380.432,,,2004-10-19
2000-03-11,381.274,378.964,,,2004-11-04
2000-03-12,381.273,379.466,,,2005-01-15
2000-03-13,381.271,379.545,,,2005-02-08
2000-03-14,381.267,379.144,,,2005-02-16
2000-03-15,381.262,379.263,,,2005-02-24
2000-03-16,381.256,381.361,,,2005-03-12
2000-03-17,381.249,381.534,,,2005-04-21
2000-03-18,381.24,381.343,,,2005-04-29
2000-03-19,381.23,381.228,,,2005-05-23
2000-03-20,381.218,381.02,,,2005-06-08
2000-03-21,381.206,381.806,,,2005-08-03
2000-03-22,381.192,380.977,,,2005-08-19
2000-03-23,381.177,381.158,,,2005-09-20
2000-03-24,381.16,380.234,,,2005-10-06
2000-03-25,381.142,380.061,,,2005-11-15
2000-03-26,381.123,379.498,,,2005-12-09
2000-03-27,381.103,380.488,,,2006-01-10
2000-03-28,381.081,381.556,,,2006-02-11
2000-03-29,381.058,381.649,,,2006-02-19
2000-03-30,381.034,381.864,,,2006-03-31
2000-03-31,381.008,382.827,,,2006-04-08
2000-04-01,380.981,382.106,,,2006-05-02
2000-04-02,380.953,382.511,,,2006-05-26
2000-04-03,380.924,382.278,,,2006-06-19
2000-04-04,380.833,382.871,,,2006-06-27
2000-04-05,380.755,382.371,,,2006-07-13
2000-04-06,380.674,382.865,,,2006-07-21
2000-04-07,380.591,382.034,,,2006-09-07
2000-04-08,380.505,381.507,,,2006-09-23
2000-04-09,380.417,379.114,,,2006-10-09
2000-04-10,380.327,379.023,,,2006-11-26
2000-04-11,380.234,378.569,,,2006-12-13
2000-04-12,380.138,378.764,,,2007-02-14
2000-04-13,380.04,378.65,,,2007-03-02
2000-04-14,379.94,378.975,,,2007-03-18
2000-04-15,379.837,379.066,,,2007-05-05
2000-04-16,379.732,378.553,,,2007-06-06
2000-04-17,379.624,378.085,,,2007-09-10
2000-04-18,379.514,377.857,,,2007-09-18
2000-04-19,379.401,377.011,,,2007-09-26
2000-04-20,379.286,377.188,,,2007-10-12
2000-04-21,379.171,376.479,,,2007-10-28
2000-04-22,379.054,376.689,,,2008-02-01
2000-04-23,378.937,375.699,,,2008-04-21
2000-04-24,378.819,375.551,,,2008-05-07
2000-04-25,378.701,374.889,,,2008-08-27
2000-04-26,378.582,374.785,,,2008-12-09
2000-04-27,378.462,374.576,,,2008-12-25
2000-04-28,378.343,374.408,,,2009-01-02
2000-04-29,378.222,374.217,,,2009-02-03
2000-04-30,378.102,374.388,,,2009-03-23
2000-05-01,377.981,373.895,,,2009-04-08
2000-05-02,377.86,374.41,,,2009-07-13
2000-05-03,377.739,373.896,,,2009-07-29
2000-05-04,377.617,375.849,,,2010-01-05
2000-05-05,377.496,373.791,,,2010-03-10
2000-05-06,377.375,377.381,,,2010-03-26
2000-05-07,377.254,373.825,,,2010-04-11
2000-05-08,377.133,375.535,,,2010-05-29
2000-05-09,377.012,373.698,,,2010-11-05
2000-05-10,376.891,376.773,,,2010-12-07
2000-05-11,376.771,374.032,,,2010-12-31
2000-05-12,376.651,377.938,,,2011-01-16
2000-05-13,376.531,374.724,,,2011-02-01
2000-05-14,376.412,377.118,,,2011-02-25
2000-05-15,376.294,373.939,,,2011-03-13
2000-05-16,376.176,375.263,,,2011-03-29
2000-05-17,376.059,373.546,,,2011-08-20
2000-05-18,375.943,374.889,,,2011-09-05
2000-05-19,375.827,373.622,,,2011-10-23
