dates,shore,Hs,Tp,Dir,Eng,,,real_dates
22/10/1999,368.4840225,0.78261596,8.887245178,39.51189041,2.667231071,,,22/10/1999
23/10/1999,368.6651683,0.715790987,9.601985931,49.42406082,2.410624669,,,7/11/1999
24/10/1999,368.8450222,0.682378471,9.604945183,57.15872574,2.191500648,,,9/12/1999
25/10/1999,369.0235841,0.864237905,8.957315445,59.59741974,3.278238671,,,25/12/1999
26/10/1999,369.2008541,1.023376703,4.979128838,36.02362823,2.555174099,,,14/03/2000
27/10/1999,369.3768321,1.17926991,5.626281738,27.23114204,3.833928333,,,30/03/2000
28/10/1999,369.5515182,1.124282598,6.782353401,43.4565506,4.20075616,,,1/05/2000
29/10/1999,369.7249124,1.395210147,7.947303295,40.7580452,7.580452306,,,5/08/2000
30/10/1999,369.8970146,1.563036323,10.52884769,40.91751099,12.60419357,,,11/12/2000
31/10/1999,370.0678249,1.674538493,11.22468758,49.47904968,15.42270716,,,12/01/2001
1/11/1999,370.2373433,1.633775234,11.24129772,55.50498199,14.70270174,,,13/02/2001
2/11/1999,370.4055697,1.613918662,10.69982433,55.86171341,13.65639326,,,1/03/2001
3/11/1999,370.5725042,2.460877657,9.606281281,41.96983337,28.50568131,,,5/06/2001
4/11/1999,370.7381468,3.1563344,9.778881073,30.20664597,47.73657562,,,21/06/2001
5/11/1999,370.9024974,2.417441368,9.007816315,44.13564682,25.79452298,,,24/08/2001
6/11/1999,371.0655561,2.12360239,8.572213173,51.18503189,18.94241964,,,9/09/2001
7/11/1999,371.2273228,1.808761239,9.358647346,56.15864563,15.00277679,,,25/09/2001
8/11/1999,371.3877976,1.693822384,11.28721619,60.01944351,15.86787092,,,11/10/2001
9/11/1999,371.5469805,1.639025688,10.69858265,64.84941101,14.08295678,,,15/01/2002
10/11/1999,371.7048715,2.357967377,7.523442268,20.30753708,20.49690353,,,20/03/2002
11/11/1999,371.8614705,2.004940271,8.409255028,35.34040833,16.56366667,,,5/04/2002
12/11/1999,372.0167775,1.37105763,8.245439529,18.08398628,7.594886897,,,27/08/2002
13/11/1999,372.1707926,0.655648589,10.14670563,48.18134308,2.13728975,,,14/10/2002
14/11/1999,372.3235158,0.621376812,9.466044426,52.96181488,1.790913888,,,1/12/2002
15/11/1999,372.4749471,0.592069268,8.86356926,57.7072258,1.522473567,,,2/01/2003
16/11/1999,372.6250864,0.954260707,8.873975754,55.08089066,3.959573425,,,18/01/2003
17/11/1999,372.7739338,1.402369976,7.403253078,54.05124664,7.134177102,,,26/05/2003
18/11/1999,372.9214892,1.625947356,10.51347828,63.08155823,13.61932119,,,21/07/2003
19/11/1999,373.0677527,1.175546765,10.5221653,67.76786041,7.124936887,,,6/08/2003
20/11/1999,373.2127243,0.989105105,10.0143919,58.80766296,4.800710862,,,7/09/2003
21/11/1999,373.3564039,0.905192018,8.827961922,53.60173035,3.544361106,,,17/10/2003
22/11/1999,373.4987916,0.58844173,13.85281849,31.92362785,2.350396601,,,25/10/2003
