dates,shore,Hs,Tp,Dir,Eng
22/10/1999,368.4840225,0.78261596,9.043042,39.51189,2.713988659
23/10/1999,368.6651683,0.715791,10.11883,49.42406,2.540380946
24/10/1999,368.8450222,0.68237853,9.760456,57.158726,2.22698297
25/10/1999,369.0235841,0.8642379,9.139557,59.59742,3.344936221
26/10/1999,369.2008541,1.0233768,10.372573,36.02363,5.322966274
27/10/1999,369.3768321,1.1792699,10.291429,27.23114,7.012908774
28/10/1999,369.5515182,1.1242825,9.939738,43.45655,6.156330384
29/10/1999,369.7249124,1.3952101,5.942173,40.758045,5.667879319
30/10/1999,369.8970146,1.5630362,10.921111,40.917507,13.07377402
31/10/1999,370.0678249,1.6745385,11.607881,49.479046,15.94921459
1/11/1999,370.2373433,1.6337752,11.592416,55.504982,15.16193521
2/11/1999,370.4055697,1.6139187,11.075477,55.86171,14.13584671
3/11/1999,370.5725042,2.4608774,1.1489123,41.96983,3.409281915
4/11/1999,370.7381468,3.1563346,0,30.206646,0
5/11/1999,370.9024974,2.4174414,9.896588,44.135647,28.33958469
6/11/1999,371.0655561,2.1236024,0,51.18503,0
7/11/1999,371.2273228,1.8087612,5.193828,56.15864,8.32618603
8/11/1999,371.3877976,1.6938223,11.529982,60.019447,16.20915599
9/11/1999,371.5469805,1.6390258,10.808845,64.8494,14.22810131
10/11/1999,371.7048715,2.3579671,9.372012,20.307539,25.53315011
11/11/1999,371.8614705,2.0049403,8.771829,35.34041,17.27782726
12/11/1999,372.0167775,1.3710576,7.9863486,18.083984,7.35623753
13/11/1999,372.1707926,0.65564847,9.711102,48.181343,2.045533988
14/11/1999,372.3235158,0.6213768,9.9679,52.96181,1.885861615
15/11/1999,372.4749471,0.5920693,9.866231,57.707226,1.694698499
16/11/1999,372.6250864,0.9542607,13.551437,55.08089,6.046659414
17/11/1999,372.7739338,1.40237,11.672319,54.05125,11.24808147
18/11/1999,372.9214892,1.6259472,6.9480796,63.08156,9.000647269
19/11/1999,373.0677527,1.1755469,10.707653,67.76786,7.250538948
20/11/1999,373.2127243,0.9891051,10.45639,58.807663,5.012596372
21/11/1999,373.3564039,0.9051921,9.162564,53.60173,3.678702024
22/11/1999,373.4987916,0.58844167,10.095154,31.92363,1.712836335
23/11/1999,373.6398874,0.5285856,15.517905,11.732939,2.12451511
24/11/1999,373.7796912,0.62996864,12.767389,7.9140635,2.482767388
25/11/1999,373.9182031,0.6356965,11.599098,6.2878103,2.296782859
26/11/1999,374.055423,0.8524958,7.0213003,13.195603,2.500334562
27/11/1999,374.191351,1.0713954,6.7911363,21.757832,3.819777637
28/11/1999,374.3259871,1.129533,7.9406214,44.627094,4.964190248
29/11/1999,374.4593313,0.9871004,9.40237,46.100758,4.489066854
30/11/1999,374.5913835,0.5170344,9.4360695,62.32892,1.236021682
1/12/1999,374.7221437,0.42615244,9.49497,50.896347,0.84492787
2/12/1999,374.851612,0.46643835,9.247909,27.461401,0.985889244
3/12/1999,374.9797884,0.54634196,12.646054,7.78553,1.849610255
4/12/1999,375.1066729,0.5079653,11.9226265,16.35738,1.507426379
5/12/1999,375.2322654,0.5176072,11.812174,25.771225,1.550695524
6/12/1999,375.356566,0.54090047,11.031945,28.274527,1.581549851
7/12/1999,375.4795746,0.6075345,10.378969,35.36103,1.877120641
8/12/1999,375.6012913,0.67264116,10.44589,35.32941,2.315839228
9/12/1999,375.7217161,0.6404697,10.127994,18.774076,2.035713668
10/12/1999,375.8408489,0.70280784,12.080143,11.087524,2.92375751
11/12/1999,375.9586898,1.0862877,13.656162,7.911314,7.896133171
12/12/1999,376.0752388,1.4135392,13.4890995,5.838976,13.20671335
13/12/1999,376.1904958,1.4723452,10.43262,136.24986,11.08176046
14/12/1999,376.3044609,0.76132745,11.262396,15.269317,3.198673049
15/12/1999,376.4171341,0.56132984,11.359961,12.4519,1.753917575
16/12/1999,376.5285153,0.5667713,11.340486,9.589805,1.785021485
17/12/1999,376.6386046,0.57746327,11.787544,10.171984,1.926052578
18/12/1999,376.7474019,0.9548335,11.625159,12.649166,5.193382102
19/12/1999,376.8549073,1.5416522,9.329531,24.291376,10.86497437
20/12/1999,376.9611208,1.3238983,9.171633,50.044044,7.876839518
21/12/1999,377.0660423,1.4870467,9.380318,43.56515,10.16395788
