dates,observation,Yates,,,special_dates
15/09/1999,334.8068162,329.78134,,,18/07/1999
16/09/1999,334.8119877,330.96506,,,4/09/1999
17/09/1999,334.8275236,332.78055,,,22/10/1999
18/09/1999,334.8414576,332.8936,,,9/12/1999
19/09/1999,334.8537895,332.64185,,,25/12/1999
20/09/1999,334.8645195,333.07162,,,26/01/2000
21/09/1999,334.8736475,333.62784,,,11/02/2000
22/09/1999,334.8811734,333.32352,,,27/02/2000
23/09/1999,334.8870974,333.15524,,,30/03/2000
24/09/1999,334.8914195,333.74384,,,15/04/2000
25/09/1999,334.8941395,334.17294,,,1/05/2000
26/09/1999,334.8952575,333.6993,,,2/06/2000
27/09/1999,334.8947736,332.84225,,,18/06/2000
28/09/1999,334.8926876,332.76993,,,5/08/2000
29/09/1999,334.8889997,332.19193,,,6/09/2000
30/09/1999,334.8837098,331.27063,,,8/10/2000
1/10/1999,334.8768179,331.3374,,,25/11/2000
2/10/1999,334.868324,330.77652,,,11/12/2000
3/10/1999,334.8582281,330.0955,,,13/02/2001
4/10/1999,334.8465302,332.17075,,,17/03/2001
5/10/1999,334.8332304,332.87082,,,20/05/2001
6/10/1999,334.8183285,332.44888,,,5/06/2001
7/10/1999,334.8018247,330.51874,,,7/07/2001
8/10/1999,334.7837188,330.69357,,,8/08/2001
9/10/1999,334.764011,331.32413,,,24/08/2001
10/10/1999,334.7427012,332.97766,,,25/09/2001
11/10/1999,334.7169782,333.50223,,,11/10/2001
12/10/1999,334.686842,333.71597,,,14/12/2001
13/10/1999,334.6522926,333.55304,,,30/12/2001
14/10/1999,334.61333,333.44724,,,16/02/2002
15/10/1999,334.5699541,332.6564,,,7/05/2002
16/10/1999,334.5221651,332.22623,,,11/08/2002
17/10/1999,334.4699629,332.5173,,,12/09/2002
18/10/1999,334.4133475,331.90012,,,14/10/2002
19/10/1999,334.3523188,331.89038,,,18/01/2003
20/10/1999,334.286877,332.31583,,,23/03/2003
21/10/1999,334.217022,332.8776,,,8/04/2003
22/10/1999,334.1427537,333.78622,,,24/04/2003
23/10/1999,334.0640723,332.73404,,,21/07/2003
24/10/1999,333.9809777,332.39236,,,29/07/2003
25/10/1999,333.8934698,331.48874,,,30/08/2003
26/10/1999,333.8015488,331.19504,,,17/10/2003
27/10/1999,333.7101505,331.58,,,18/11/2003
28/10/1999,333.619275,330.483,,,28/12/2003
29/10/1999,333.5289222,329.8704,,,9/03/2004
30/10/1999,333.4390922,329.54062,,,2/04/2004
31/10/1999,333.349785,330.08432,,,10/04/2004
1/11/1999,333.2610006,331.19128,,,4/05/2004
2/11/1999,333.1727389,330.80457,,,20/05/2004
3/11/1999,333.0850001,329.74374,,,21/06/2004
4/11/1999,332.9977839,329.63483,,,7/07/2004
5/11/1999,332.9128034,330.25925,,,31/07/2004
6/11/1999,332.8300586,330.8739,,,25/09/2004
7/11/1999,332.7495494,330.56247,,,19/10/2004
8/11/1999,332.6712759,330.66824,,,4/11/2004
9/11/1999,332.595238,329.90195,,,6/12/2004
10/11/1999,332.5214358,330.26474,,,15/01/2005
11/11/1999,332.4498692,330.7066,,,8/02/2005
12/11/1999,332.3805382,330.82513,,,24/02/2005
13/11/1999,332.3134429,330.6722,,,4/03/2005
14/11/1999,332.2485832,330.79886,,,12/03/2005
15/11/1999,332.1859592,330.90225,,,5/04/2005
16/11/1999,332.1255709,332.12186,,,13/04/2005
17/11/1999,332.0674182,333.2443,,,21/04/2005
18/11/1999,332.0115011,334.42786,,,31/05/2005
19/11/1999,331.9578197,333.76556,,,8/06/2005
20/11/1999,331.9063739,333.2828,,,3/08/2005
21/11/1999,331.8571638,331.43466,,,27/08/2005
22/11/1999,331.8101893,330.72253,,,20/09/2005
23/11/1999,331.7654504,330.57224,,,28/09/2005
24/11/1999,331.7229473,329.7706,,,22/10/2005
25/11/1999,331.6826797,330.82056,,,30/10/2005
26/11/1999,331.6446478,331.52597,,,7/11/2005
27/11/1999,331.6088516,331.49924,,,25/12/2005
28/11/1999,331.5759344,330.4302,,,10/01/2006
29/11/1999,331.5458964,330.55115,,,26/01/2006
30/11/1999,331.5187375,330.84137,,,11/02/2006
1/12/1999,331.4944577,331.17386,,,19/02/2006
2/12/1999,331.4730569,330.28275,,,15/03/2006
3/12/1999,331.4545353,328.88455,,,31/03/2006
4/12/1999,331.4388928,328.50104,,,19/06/2006
5/12/1999,331.4261295,328.54092,,,27/06/2006
6/12/1999,331.4162452,329.75357,,,21/07/2006
7/12/1999,331.40924,330.03897,,,9/10/2006
8/12/1999,331.4051139,330.26077,,,25/10/2006
9/12/1999,331.403867,330.3417,,,2/11/2006
10/12/1999,331.4054991,330.57065,,,10/11/2006
11/12/1999,331.4100104,330.5676,,,12/12/2006
12/12/1999,331.4174007,330.65622,,,28/12/2006
13/12/1999,331.4276702,330.97592,,,5/01/2007
14/12/1999,331.4367289,330.5415,,,21/01/2007
15/12/1999,331.4445767,330.30353,,,29/01/2007
16/12/1999,331.4512138,330.77325,,,6/02/2007
17/12/1999,331.4566401,330.68808,,,18/03/2007
18/12/1999,331.4608556,330.42593,,,19/04/2007
19/12/1999,331.4638603,328.9868,,,21/05/2007
