dates,observation,Yates,,,special_dates
1999-09-15,334.80682,334.2932,,,1999-07-18
1999-09-16,334.81198,334.29816,,,1999-09-04
1999-09-17,334.8275,334.55157,,,1999-10-22
1999-09-18,334.84146,334.37097,,,1999-12-09
1999-09-19,334.8538,334.2753,,,1999-12-25
1999-09-20,334.86453,334.63373,,,2000-01-26
1999-09-21,334.87366,334.89246,,,2000-02-11
1999-09-22,334.88116,334.601,,,2000-02-27
1999-09-23,334.8871,334.34668,,,2000-03-30
1999-09-24,334.89142,334.37216,,,2000-04-15
1999-09-25,334.89413,334.4981,,,2000-05-01
1999-09-26,334.89526,334.28836,,,2000-06-02
1999-09-27,334.89478,334.1333,,,2000-06-18
1999-09-28,334.8927,334.36584,,,2000-08-05
1999-09-29,334.889,334.35858,,,2000-09-06
1999-09-30,334.8837,333.93222,,,2000-10-08
1999-10-01,334.87683,333.56134,,,2000-11-25
1999-10-02,334.86832,333.55566,,,2000-12-11
1999-10-03,334.85822,333.17966,,,2001-02-13
1999-10-04,334.84653,332.9584,,,2001-03-17
1999-10-05,334.83322,332.9752,,,2001-05-20
1999-10-06,334.81833,333.2416,,,2001-06-05
1999-10-07,334.80182,333.15198,,,2001-07-07
1999-10-08,334.78372,332.8338,,,2001-08-08
1999-10-09,334.764,333.33606,,,2001-08-24
1999-10-10,334.7427,333.88214,,,2001-09-25
1999-10-11,334.71698,334.0841,,,2001-10-11
1999-10-12,334.68683,334.36505,,,2001-12-14
1999-10-13,334.65228,334.2366,,,2001-12-30
1999-10-14,334.61334,334.26535,,,2002-02-16
1999-10-15,334.56995,334.48627,,,2002-05-07
1999-10-16,334.52216,334.49084,,,2002-08-11
1999-10-17,334.46997,334.19812,,,2002-09-12
1999-10-18,334.41336,333.8355,,,2002-10-14
1999-10-19,334.35233,333.56143,,,2003-01-18
1999-10-20,334.28687,333.65472,,,2003-03-23
1999-10-21,334.217,333.97052,,,2003-04-08
1999-10-22,334.14276,333.4937,,,2003-04-24
1999-10-23,334.0641,333.37973,,,2003-07-21
1999-10-24,333.981,333.30756,,,2003-07-29
1999-10-25,333.89346,333.64392,,,2003-08-30
1999-10-26,333.80154,333.49017,,,2003-10-17
1999-10-27,333.71014,333.1404,,,2003-11-18
1999-10-28,333.61926,332.39954,,,2003-12-28
1999-10-29,333.52893,332.18713,,,2004-03-09
1999-10-30,333.4391,331.79868,,,2004-04-02
1999-10-31,333.3498,331.75198,,,2004-04-10
1999-11-01,333.261,331.74316,,,2004-05-04
1999-11-02,333.17273,331.59732,,,2004-05-20
1999-11-03,333.085,331.46384,,,2004-06-21
1999-11-04,332.99777,330.81482,,,2004-07-07
1999-11-05,332.9128,330.81854,,,2004-07-31
1999-11-06,332.83005,330.93442,,,2004-09-25
1999-11-07,332.74954,331.04483,,,2004-10-19
1999-11-08,332.67126,330.9516,,,2004-11-04
1999-11-09,332.59525,330.6593,,,2004-12-06
1999-11-10,332.52142,330.6472,,,2005-01-15
1999-11-11,332.44986,330.88284,,,2005-02-08
1999-11-12,332.38052,330.85916,,,2005-02-24
1999-11-13,332.31345,330.81808,,,2005-03-04
1999-11-14,332.2486,330.76688,,,2005-03-12
1999-11-15,332.18597,330.8353,,,2005-04-05
1999-11-16,332.12558,331.06387,,,2005-04-13
1999-11-17,332.0674,331.22244,,,2005-04-21
1999-11-18,332.0115,331.09778,,,2005-05-31
1999-11-19,331.95782,330.88785,,,2005-06-08
1999-11-20,331.90637,330.54572,,,2005-08-03
1999-11-21,331.85718,330.17566,,,2005-08-27
1999-11-22,331.81018,330.08112,,,2005-09-20
1999-11-23,331.76544,330.5163,,,2005-09-28
1999-11-24,331.72296,330.67102,,,2005-10-22
1999-11-25,331.68268,330.9985,,,2005-10-30
1999-11-26,331.64465,331.0735,,,2005-11-07
1999-11-27,331.60886,331.02658,,,2005-12-25
1999-11-28,331.57593,331.2423,,,2006-01-10
1999-11-29,331.5459,331.08856,,,2006-01-26
1999-11-30,331.51874,330.78918,,,2006-02-11
1999-12-01,331.49445,330.7854,,,2006-02-19
1999-12-02,331.47305,330.66013,,,2006-03-15
1999-12-03,331.45453,330.46503,,,2006-03-31
1999-12-04,331.4389,330.37198,,,2006-06-19
1999-12-05,331.42612,330.32242,,,2006-06-27
1999-12-06,331.41626,330.3728,,,2006-07-21
1999-12-07,331.40924,330.77985,,,2006-10-09
1999-12-08,331.40512,330.9626,,,2006-10-25
1999-12-09,331.40387,330.7927,,,2006-11-02
1999-12-10,331.4055,330.59106,,,2006-11-10
1999-12-11,331.41,330.13824,,,2006-12-12
1999-12-12,331.4174,330.11182,,,2006-12-28
1999-12-13,331.42767,330.10623,,,2007-01-05
1999-12-14,331.43674,330.06445,,,2007-01-21
1999-12-15,331.44458,330.29248,,,2007-01-29
1999-12-16,331.4512,330.0453,,,2007-02-06
1999-12-17,331.45663,329.7766,,,2007-03-18
1999-12-18,331.46085,329.3829,,,2007-04-19
1999-12-19,331.46387,329.66086,,,2007-05-21
1999-12-20,331.46567,330.3448,,,2007-06-06
1999-12-21,331.46625,330.472,,,2007-08-25
1999-12-22,331.4656,330.3909,,,2007-09-10
1999-12-23,331.46365,330.58844,,,2007-09-26
1999-12-24,331.4604,331.1401,,,2007-10-12
1999-12-25,331.4558,331.47824,,,2007-10-28
1999-12-26,331.4499,331.48825,,,2007-12-15
1999-12-27,331.44266,331.12186,,,2007-12-31
1999-12-28,331.43408,331.0495,,,2008-01-16
1999-12-29,331.4242,331.15158,,,2008-02-25
1999-12-30,331.41568,331.12402,,,2008-03-04
1999-12-31,331.4085,330.87488,,,2008-06-08
2000-01-01,331.4027,330.66858,,,2008-07-10
2000-01-02,331.39825,330.70828,,,2008-08-27
2000-01-03,331.39514,331.0674,,,2008-10-14
2000-01-04,331.3934,331.3982,,,2008-11-15
2000-01-05,331.39304,331.4769,,,2008-12-01
2000-01-06,331.394,331.48547,,,2008-12-25
2000-01-07,331.39633,331.5124,,,2009-03-07
2000-01-08,331.40002,331.6779,,,2009-05-10
2000-01-09,331.40506,331.734,,,2009-07-13
2000-01-10,331.41144,331.74237,,,2009-07-29
2000-01-11,331.4192,331.61295,,,2009-12-04
2000-01-12,331.4283,331.72107,,,2010-01-13
2000-01-13,331.43878,331.62228,,,2010-01-29
2000-01-14,331.4506,331.46268,,,2010-02-22
2000-01-15,331.46378,331.1163,,,2010-06-30
2000-01-16,331.4783,331.1204,,,2010-09-02
2000-01-17,331.4942,331.00238,,,2010-09-18
